workload,input,output_tokens,mapping_group,mapping,metric,stat,value,unit
Encoder-heavy,2048x2048,64,H100-based / Heterogeneous,"AGG (1xH100)",Request Latency,avg,1669.6,ms
Encoder-heavy,2048x2048,64,H100-based / Heterogeneous,"AGG (1xH100)",Request Latency,p90,1749.6,ms
Encoder-heavy,2048x2048,64,H100-based / Heterogeneous,"AGG (1xH100)",Request Latency,p99,1764.7,ms
Encoder-heavy,2048x2048,64,H100-based / Heterogeneous,"E/PD (E=A100, PD=H100)",Request Latency,avg,1877.4,ms
Encoder-heavy,2048x2048,64,H100-based / Heterogeneous,"E/PD (E=A100, PD=H100)",Request Latency,p90,2045.4,ms
Encoder-heavy,2048x2048,64,H100-based / Heterogeneous,"E/PD (E=A100, PD=H100)",Request Latency,p99,2275.6,ms
Encoder-heavy,2048x2048,64,H100-based / Heterogeneous,"E/P/D (E=A100, P=A100, D=H100)",Request Latency,avg,1949.6,ms
Encoder-heavy,2048x2048,64,H100-based / Heterogeneous,"E/P/D (E=A100, P=A100, D=H100)",Request Latency,p90,1989.4,ms
Encoder-heavy,2048x2048,64,H100-based / Heterogeneous,"E/P/D (E=A100, P=A100, D=H100)",Request Latency,p99,4027.7,ms
Decode-heavy,1024x1024,1024,Homogeneous A100,"AGG (1xA100)",Request Latency,avg,17425.6,ms
Decode-heavy,1024x1024,1024,Homogeneous A100,"AGG (1xA100)",Request Latency,p90,17475.5,ms
Decode-heavy,1024x1024,1024,Homogeneous A100,"AGG (1xA100)",Request Latency,p99,17485.9,ms
Decode-heavy,1024x1024,1024,Homogeneous A100,"E/PD (E=A100, PD=A100)",Request Latency,avg,18195.0,ms
Decode-heavy,1024x1024,1024,Homogeneous A100,"E/PD (E=A100, PD=A100)",Request Latency,p90,18349.5,ms
Decode-heavy,1024x1024,1024,Homogeneous A100,"E/PD (E=A100, PD=A100)",Request Latency,p99,18370.7,ms
Decode-heavy,1024x1024,1024,Homogeneous A100,"E/P/D (E=A100, P=A100, D=A100)",Request Latency,avg,17984.4,ms
